74939429,"{""answerCount"":1,""questionId"":74939429,""owner"":{""userId"":12935154,""userType"":""REGISTERED"",""displayName"":""Samir Ahmane"",""reputation"":750,""age"":0,""questionCount"":0,""answerCount"":0,""viewCount"":0,""upVoteCount"":0,""downVoteCount"":0,""acceptRate"":0.0,""badgeCounts"":{}},""creationDate"":""Dec 28, 2022, 7:03:26 PM"",""lastActivityDate"":""Dec 29, 2022, 11:38:41 AM"",""upVoteCount"":0,""downVoteCount"":0,""favoriteCount"":0,""viewCount"":34,""score"":0,""communityOwned"":false,""title"":""Using function from parent class inside class with Kotlin"",""tags"":[""java"",""android"",""kotlin"",""oop""],""answers"":[],""comments"":[],""acceptedAnswerId"":0,""bountyAmount"":0}"
74939602,"{""answerCount"":1,""questionId"":74939602,""owner"":{""userId"":3018014,""userType"":""REGISTERED"",""displayName"":""bbx402"",""reputation"":109,""age"":0,""questionCount"":0,""answerCount"":0,""viewCount"":0,""upVoteCount"":0,""downVoteCount"":0,""acceptRate"":25.0,""badgeCounts"":{}},""creationDate"":""Dec 28, 2022, 7:19:50 PM"",""lastActivityDate"":""Dec 28, 2022, 7:32:07 PM"",""upVoteCount"":0,""downVoteCount"":0,""favoriteCount"":0,""viewCount"":26,""score"":0,""communityOwned"":false,""title"":""JMeter HashTree not sorted correct after loading project in JMeter"",""tags"":[""java"",""jmeter""],""answers"":[],""comments"":[],""acceptedAnswerId"":0,""bountyAmount"":0}"
74939616,"{""answerCount"":1,""questionId"":74939616,""owner"":{""userId"":5143652,""userType"":""REGISTERED"",""displayName"":""manuelgr"",""reputation"":498,""age"":0,""questionCount"":0,""answerCount"":0,""viewCount"":0,""upVoteCount"":0,""downVoteCount"":0,""acceptRate"":80.0,""badgeCounts"":{}},""creationDate"":""Dec 28, 2022, 7:20:53 PM"",""lastEditDate"":""Dec 30, 2022, 11:12:04 AM"",""lastActivityDate"":""Dec 30, 2022, 11:13:52 AM"",""upVoteCount"":0,""downVoteCount"":0,""favoriteCount"":0,""viewCount"":45,""score"":0,""communityOwned"":false,""title"":""How to test a Kafka Streams Function with TestTopologyDriver?"",""tags"":[""java"",""testing"",""apache-kafka"",""apache-kafka-streams""],""answers"":[],""comments"":[],""acceptedAnswerId"":0,""bountyAmount"":0}"
74939662,"{""answerCount"":0,""questionId"":74939662,""owner"":{""userId"":12549136,""userType"":""REGISTERED"",""displayName"":""7575 mohan"",""reputation"":21,""age"":0,""questionCount"":0,""answerCount"":0,""viewCount"":0,""upVoteCount"":0,""downVoteCount"":0,""acceptRate"":0.0,""badgeCounts"":{}},""creationDate"":""Dec 28, 2022, 7:26:28 PM"",""lastActivityDate"":""Dec 28, 2022, 7:26:28 PM"",""upVoteCount"":0,""downVoteCount"":0,""favoriteCount"":0,""viewCount"":66,""score"":0,""communityOwned"":false,""title"":""Configuring FORWARD dispatcher for tomcat\u0026#39;s HttpHeaderSecurityFilter throws exception"",""tags"":[""java"",""tomcat"",""web-applications"",""dispatcher""],""answers"":[],""comments"":[],""acceptedAnswerId"":0,""bountyAmount"":0}"
74939699,"{""answerCount"":1,""questionId"":74939699,""owner"":{""userId"":20878397,""userType"":""REGISTERED"",""displayName"":""udacity training"",""reputation"":1,""age"":0,""questionCount"":0,""answerCount"":0,""viewCount"":0,""upVoteCount"":0,""downVoteCount"":0,""acceptRate"":0.0,""badgeCounts"":{}},""creationDate"":""Dec 28, 2022, 7:30:15 PM"",""lastActivityDate"":""Dec 28, 2022, 7:46:37 PM"",""upVoteCount"":0,""downVoteCount"":0,""favoriteCount"":0,""viewCount"":340,""score"":0,""communityOwned"":false,""title"":""When i change from crudrepository to pagingand sortingrepository there is no save method"",""tags"":[""java"",""spring"",""spring-boot"",""crud-repository""],""answers"":[],""comments"":[],""acceptedAnswerId"":0,""bountyAmount"":0}"
74939781,"{""answerCount"":1,""questionId"":74939781,""owner"":{""userId"":20878979,""userType"":""REGISTERED"",""displayName"":""Achut Dudhe"",""reputation"":1,""age"":0,""questionCount"":0,""answerCount"":0,""viewCount"":0,""upVoteCount"":0,""downVoteCount"":0,""acceptRate"":0.0,""badgeCounts"":{}},""creationDate"":""Dec 28, 2022, 7:37:14 PM"",""lastEditDate"":""Dec 29, 2022, 11:41:35 PM"",""lastActivityDate"":""Feb 10, 2023, 5:50:24 PM"",""upVoteCount"":0,""downVoteCount"":0,""favoriteCount"":0,""viewCount"":167,""score"":0,""communityOwned"":false,""title"":""not getting jre system library in maven project in eclipse java"",""tags"":[""java"",""eclipse"",""maven""],""answers"":[],""comments"":[],""acceptedAnswerId"":0,""bountyAmount"":0}"
74939787,"{""answerCount"":0,""questionId"":74939787,""owner"":{""userId"":4763929,""userType"":""REGISTERED"",""displayName"":""Lukas S"",""reputation"":485,""age"":0,""questionCount"":0,""answerCount"":0,""viewCount"":0,""upVoteCount"":0,""downVoteCount"":0,""acceptRate"":0.0,""badgeCounts"":{}},""creationDate"":""Dec 28, 2022, 7:37:39 PM"",""lastActivityDate"":""Dec 28, 2022, 7:37:39 PM"",""upVoteCount"":0,""downVoteCount"":0,""favoriteCount"":0,""viewCount"":63,""score"":0,""communityOwned"":false,""title"":""Retry of failed message in Kafka Spring Webflux using Kotlin"",""tags"":[""java"",""kotlin"",""apache-kafka"",""spring-webflux""],""answers"":[],""comments"":[],""acceptedAnswerId"":0,""bountyAmount"":0}"
74939789,"{""answerCount"":1,""questionId"":74939789,""owner"":{""userId"":0,""displayName"":""user20794994"",""reputation"":0,""age"":0,""questionCount"":0,""answerCount"":0,""viewCount"":0,""upVoteCount"":0,""downVoteCount"":0,""acceptRate"":0.0,""badgeCounts"":{}},""creationDate"":""Dec 28, 2022, 7:37:54 PM"",""lastActivityDate"":""Dec 28, 2022, 7:47:46 PM"",""upVoteCount"":0,""downVoteCount"":0,""favoriteCount"":0,""viewCount"":29,""score"":0,""communityOwned"":false,""title"":""Can I transfer Java code from Eclipse to Andriodstudio?"",""tags"":[""java"",""android""],""answers"":[],""comments"":[],""acceptedAnswerId"":74939875,""closedDate"":""Dec 29, 2022, 2:16:34 AM"",""closedReason"":""Needs details or clarity"",""bountyAmount"":0}"
74939795,"{""answerCount"":1,""questionId"":74939795,""owner"":{""userId"":20804171,""userType"":""REGISTERED"",""displayName"":""zeeetan"",""reputation"":1,""age"":0,""questionCount"":0,""answerCount"":0,""viewCount"":0,""upVoteCount"":0,""downVoteCount"":0,""acceptRate"":0.0,""badgeCounts"":{}},""creationDate"":""Dec 28, 2022, 7:38:56 PM"",""lastActivityDate"":""Dec 28, 2022, 7:50:36 PM"",""upVoteCount"":0,""downVoteCount"":0,""favoriteCount"":0,""viewCount"":39,""score"":0,""communityOwned"":false,""title"":""how to get object field from database"",""tags"":[""java"",""sql"",""postgresql"",""web""],""answers"":[],""comments"":[],""acceptedAnswerId"":0,""bountyAmount"":0}"
74939842,"{""answerCount"":1,""questionId"":74939842,""owner"":{""userId"":11921751,""userType"":""REGISTERED"",""displayName"":""Abdullah Imran"",""reputation"":179,""age"":0,""questionCount"":0,""answerCount"":0,""viewCount"":0,""upVoteCount"":0,""downVoteCount"":0,""acceptRate"":0.0,""badgeCounts"":{}},""creationDate"":""Dec 28, 2022, 7:44:21 PM"",""lastActivityDate"":""Dec 28, 2022, 8:19:59 PM"",""upVoteCount"":0,""downVoteCount"":0,""favoriteCount"":0,""viewCount"":366,""score"":0,""communityOwned"":false,""title"":""How to merge two different Mono to produce final response in java reactive"",""tags"":[""java"",""spring-boot"",""reactive-programming"",""spring-webflux"",""project-reactor""],""answers"":[],""comments"":[],""acceptedAnswerId"":0,""bountyAmount"":0}"
74940025,"{""answerCount"":1,""questionId"":74940025,""owner"":{""userId"":13341452,""userType"":""REGISTERED"",""displayName"":""Sami Shorman"",""reputation"":149,""age"":0,""questionCount"":0,""answerCount"":0,""viewCount"":0,""upVoteCount"":0,""downVoteCount"":0,""acceptRate"":0.0,""badgeCounts"":{}},""creationDate"":""Dec 28, 2022, 8:02:51 PM"",""lastActivityDate"":""Dec 29, 2022, 5:25:26 PM"",""upVoteCount"":0,""downVoteCount"":0,""favoriteCount"":0,""viewCount"":78,""score"":0,""communityOwned"":false,""title"":""How to set style resource from data binding using **style** attribute"",""tags"":[""java"",""android"",""xml"",""kotlin""],""answers"":[],""comments"":[],""acceptedAnswerId"":0,""bountyAmount"":0}"
