74911073	"{""owner"":{""profile_image"":""https://www.gravatar.com/avatar/c01d5584e40e3d19507e9a5eaf0bae15?s=256&d=identicon&r=PG"",""account_id"":4688171,""user_type"":""registered"",""user_id"":3795036,""link"":""https://stackoverflow.com/users/3795036/k-nicholas"",""reputation"":10756,""display_name"":""K.Nicholas"",""accept_rate"":88},""comment_count"":0,""content_license"":""CC BY-SA 4.0"",""score"":1,""is_accepted"":true,""last_activity_date"":1672066608,""creation_date"":1671929681,""answer_id"":74911073,""question_id"":74910846,""up_vote_count"":1,""tags"":[],""last_edit_date"":1672066608}"	74910846
74911280	"{""owner"":{""profile_image"":""https://www.gravatar.com/avatar/b13bedc5215730fbce5edff6c130988a?s=256&d=identicon&r=PG"",""account_id"":401843,""user_type"":""registered"",""user_id"":768644,""link"":""https://stackoverflow.com/users/768644/rzwitserloot"",""reputation"":81359,""display_name"":""rzwitserloot""},""comment_count"":5,""content_license"":""CC BY-SA 4.0"",""score"":2,""is_accepted"":true,""last_activity_date"":1671935659,""creation_date"":1671935659,""answer_id"":74911280,""question_id"":74911223,""up_vote_count"":2,""tags"":[]}"	74911223
74911299	"{""owner"":{""profile_image"":""https://www.gravatar.com/avatar/8d7c765852acb86e33322215ef253855?s=256&d=identicon&r=PG&f=y&so-version=2"",""account_id"":21466947,""user_type"":""registered"",""user_id"":15816718,""link"":""https://stackoverflow.com/users/15816718/daniel-zazzali"",""reputation"":1,""display_name"":""Daniel Zazzali""},""comment_count"":3,""content_license"":""CC BY-SA 4.0"",""score"":0,""is_accepted"":false,""last_activity_date"":1671936221,""creation_date"":1671936221,""answer_id"":74911299,""question_id"":74911278,""up_vote_count"":0,""tags"":[]}"	74911278
74911627	"{""owner"":{""profile_image"":""https://www.gravatar.com/avatar/ac9dfee58394495fa69f12f58a928be3?s=256&d=identicon&r=PG&f=y&so-version=2"",""account_id"":1790714,""user_type"":""registered"",""user_id"":1631193,""link"":""https://stackoverflow.com/users/1631193/gabe-sechan"",""reputation"":88781,""display_name"":""Gabe Sechan"",""accept_rate"":71},""comment_count"":0,""content_license"":""CC BY-SA 4.0"",""score"":0,""is_accepted"":true,""last_activity_date"":1671945513,""creation_date"":1671945513,""answer_id"":74911627,""question_id"":74911595,""up_vote_count"":0,""tags"":[]}"	74911595
74911635	"{""owner"":{""profile_image"":""https://www.gravatar.com/avatar/3f265dbe3edef5d671947a604f7171bf?s=256&d=identicon&r=PG&f=y&so-version=2"",""account_id"":3421244,""user_type"":""registered"",""user_id"":2868801,""link"":""https://stackoverflow.com/users/2868801/dave-thompson-085"",""reputation"":33632,""display_name"":""dave_thompson_085""},""comment_count"":1,""content_license"":""CC BY-SA 4.0"",""score"":1,""is_accepted"":true,""last_activity_date"":1671947418,""creation_date"":1671945767,""answer_id"":74911635,""question_id"":74910867,""up_vote_count"":1,""tags"":[],""last_edit_date"":1671947418}"	74910867
74911940	"{""owner"":{""profile_image"":""https://i.stack.imgur.com/F6k47.jpg?s=256&g=1"",""account_id"":20466438,""user_type"":""registered"",""user_id"":15017829,""link"":""https://stackoverflow.com/users/15017829/mike-kim"",""reputation"":115,""display_name"":""Mike Kim""},""comment_count"":4,""content_license"":""CC BY-SA 4.0"",""score"":1,""is_accepted"":false,""last_activity_date"":1671951568,""creation_date"":1671951568,""answer_id"":74911940,""question_id"":74911641,""up_vote_count"":1,""tags"":[]}"	74911641
74912178	"{""owner"":{""profile_image"":""https://www.gravatar.com/avatar/2353050223ebecb113741c29458de4b2?s=256&d=identicon&r=PG"",""account_id"":2818342,""user_type"":""registered"",""user_id"":2422776,""link"":""https://stackoverflow.com/users/2422776/mureinik"",""reputation"":294242,""display_name"":""Mureinik""},""comment_count"":0,""content_license"":""CC BY-SA 4.0"",""score"":2,""is_accepted"":false,""last_activity_date"":1671955885,""creation_date"":1671955695,""answer_id"":74912178,""question_id"":74912154,""up_vote_count"":2,""tags"":[],""last_edit_date"":1671955885}"	74912154
74912250	"{""owner"":{""profile_image"":""https://i.stack.imgur.com/ZWEI3.jpg?s=256&g=1"",""account_id"":322981,""user_type"":""registered"",""user_id"":642706,""link"":""https://stackoverflow.com/users/642706/basil-bourque"",""reputation"":295997,""display_name"":""Basil Bourque"",""accept_rate"":58},""comment_count"":3,""content_license"":""CC BY-SA 4.0"",""score"":3,""is_accepted"":false,""last_activity_date"":1672031201,""creation_date"":1671956992,""answer_id"":74912250,""question_id"":74911641,""up_vote_count"":3,""tags"":[],""last_edit_date"":1672031201}"	74911641
74912320	"{""owner"":{""profile_image"":""https://i.stack.imgur.com/zHTaT.png?s=256&g=1"",""account_id"":39208,""user_type"":""registered"",""user_id"":112968,""link"":""https://stackoverflow.com/users/112968/knittl"",""reputation"":241311,""display_name"":""knittl"",""accept_rate"":68},""comment_count"":0,""content_license"":""CC BY-SA 4.0"",""score"":0,""is_accepted"":false,""last_activity_date"":1671963418,""creation_date"":1671958059,""answer_id"":74912320,""question_id"":74912204,""up_vote_count"":0,""tags"":[],""last_edit_date"":1671963418}"	74912204
74912639	"{""owner"":{""profile_image"":""https://i.stack.imgur.com/MWKel.jpg?s=256&g=1"",""account_id"":2179728,""user_type"":""registered"",""user_id"":10819573,""link"":""https://stackoverflow.com/users/10819573/arvind-kumar-avinash"",""reputation"":70483,""display_name"":""Arvind Kumar Avinash""},""comment_count"":0,""content_license"":""CC BY-SA 4.0"",""score"":1,""is_accepted"":true,""last_activity_date"":1671962285,""creation_date"":1671962285,""answer_id"":74912639,""question_id"":74911641,""up_vote_count"":1,""tags"":[]}"	74911641
74912766	"{""owner"":{""profile_image"":""https://i.stack.imgur.com/UFC7f.jpg?s=256&g=1"",""account_id"":4328599,""user_type"":""registered"",""user_id"":3534680,""link"":""https://stackoverflow.com/users/3534680/azizoglu"",""reputation"":26,""display_name"":""Azizoglu""},""comment_count"":2,""content_license"":""CC BY-SA 4.0"",""score"":1,""is_accepted"":true,""last_activity_date"":1671964276,""creation_date"":1671964226,""answer_id"":74912766,""question_id"":74912712,""up_vote_count"":1,""tags"":[],""last_edit_date"":1671964276}"	74912712
74912986	"{""owner"":{""profile_image"":""https://i.stack.imgur.com/9grSb.jpg?s=256&g=1"",""account_id"":24581454,""user_type"":""registered"",""user_id"":18486515,""link"":""https://stackoverflow.com/users/18486515/kifo"",""reputation"":11,""display_name"":""Kifo""},""comment_count"":0,""content_license"":""CC BY-SA 4.0"",""score"":0,""is_accepted"":false,""last_activity_date"":1671967289,""creation_date"":1671967289,""answer_id"":74912986,""question_id"":74912848,""up_vote_count"":0,""tags"":[]}"	74912848
74913123	"{""owner"":{""profile_image"":""https://i.stack.imgur.com/KeHyQ.jpg?s=256&g=1"",""account_id"":23959668,""user_type"":""registered"",""user_id"":17949945,""link"":""https://stackoverflow.com/users/17949945/alexander-ivanchenko"",""reputation"":24822,""display_name"":""Alexander Ivanchenko""},""comment_count"":0,""content_license"":""CC BY-SA 4.0"",""score"":1,""is_accepted"":true,""last_activity_date"":1671969770,""creation_date"":1671969148,""answer_id"":74913123,""question_id"":74913036,""up_vote_count"":1,""tags"":[],""last_edit_date"":1671969770}"	74913036
